URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.de/ConsentManagement/CodeSystem/QuestionnaireComponents,2.0.2,active,,QuestionnaireProfileType,,"Typen der Questionnaire-Profile zur Unterscheidung als Suchkriterium","ValueSet/ConsentComponentTypeVS"
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/identity-assuranceLevel,4.0.1,draft,"2.16.840.1.113883.4.642.4.657",IdentityAssuranceLevel,IdentityAssuranceLevel,"The level of confidence that this link represents the same actual person, based on NIST Authentication Levels.","ValueSet/identity-assuranceLevel"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://terminology.hl7.org/CodeSystem/common-tags,1.0.1,active,"2.16.840.1.113883.4.642.1.1067",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","ValueSet/common-tags"
http://terminology.hl7.org/CodeSystem/v2-0131,2.0.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/patient-contactrelationship"
http://terminology.hl7.org/CodeSystem/v2-0203,5.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/identifier-type"
http://terminology.hl7.org/CodeSystem/v3-EntityNamePartQualifier,3.0.0,active,"2.16.840.1.113883.5.43",EntityNamePartQualifier,EntityNamePartQualifier,"*OpenIssue:* Needs description","ValueSet/name-part-qualifier"
http://terminology.hl7.org/CodeSystem/v3-EntityNamePartQualifierR2,3.0.0,active,"2.16.840.1.113883.5.1122",EntityNamePartQualifierR2,EntityNamePartQualifierR2,"**Description:**The qualifier is a set of codes each of which specifies a certain subcategory of the name part in addition to the main name part type. For example, a given name may be flagged as a nickname, a family name may be a pseudonym or a name of public records.","ValueSet/name-part-qualifier"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,3.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/PolicyStatusVS,ValueSet/marital-status"
https://ths-greifswald.de/fhir/CodeSystem/dispatcher/IdatElements,2025.2.0,active,,IdatElements,,"Element names for use in $requestTasks operation.","ValueSet/IdatElementsVS"
https://ths-greifswald.de/fhir/CodeSystem/epix/BloomfilterType,2025.2.0,active,,BloomfilterType,,"Types of Bloomfilters.","ValueSet/BloomfilterTypeVS"
https://ths-greifswald.de/fhir/CodeSystem/epix/MatchStatus,2025.2.0,active,,MatchStatus,,"Possible match statuses in the context of adding patient identities.","ValueSet/MatchStatusVS"
https://ths-greifswald.de/fhir/CodeSystem/epix/SaveAction,2025.2.0,active,,SaveAction,,"Possible save actions in the context of adding patient identities.","ValueSet/SaveActionVS"
https://ths-greifswald.de/fhir/CodeSystem/gics/ConsentComponentType,2025.2.0,active,,ConsentComponentType,,"Typen der für gICS relevanten Consent-Componenten zur Unterscheidung als Suchkriterium","ValueSet/ConsentComponentTypeVS"
https://ths-greifswald.de/fhir/CodeSystem/gics/ConsentStatus,2025.2.0,active,,ConsentStatus,," consent states are used to depict the participant’s will. Therefore, documentation should allow different status values. Further details from https://doi.org/10.1186/s12967-020-02457-y","ValueSet/ConsentStatusConsentOptOutFullValuesVS,ValueSet/ConsentStatusVS,ValueSet/ConsentStatusRefusalFullValuesVS,ValueSet/ConsentStatusWithdrawalFullValuesVS,ValueSet/ConsentStatusWithdrawalShortValuesVS,ValueSet/ConsentStatusConsentShortValuesVS,ValueSet/ConsentStatusConsentFullValuesVS,ValueSet/ConsentStatusObjectionFullValuesVS,ValueSet/ConsentStatusRefusalShortValuesVS,ValueSet/ConsentStatusObjectionShortValuesVS,ValueSet/ConsentStatusConsentOptOutShortValuesVS"
https://ths-greifswald.de/fhir/CodeSystem/gics/IdMatchingType,2025.2.0,active,,IdMatchingType,,"ID matching types used in consent management","ValueSet/IdMatchingTypeVS"
https://ths-greifswald.de/fhir/CodeSystem/gics/Policy,2025.2.0,active,,Policy,,"Policies used in consent management","ValueSet/PolicyVS"
